;title_s;authors;year_i;type;id;collected_by;number_authors
114;Can Network Embedding of Distributional Thesaurus be Combined with Word Vectors for Better Representation?;['Abhik Jana', 'Pawan Goyal'];2018;Publication;114;Frank;2
115;Verification of bibliometric methods' applicability for thesaurus construction.;['Jesper W. Schneider'];2005;Publication;115;Frank;1
116;Extraction of Cognition Results of Travel Routes with a Thesaurus.;['Kazutaka Takao', 'Yasuo Asakura'];2004;Publication;116;Frank;2
117;A Cooccurrence-Based Thesaurus and Two Applications to Information Retrieval.;['Hinrich Schütze', 'Jan O. Pedersen'];1997;Publication;117;Frank;2
118;Application of automatic thesaurus extraction for computer generation of vocabulary questions.;['Michael Heilman', 'Maxine Eskénazi'];2007;Publication;118;Frank;2
119;The Representation of Multidimensionality in a Bilingualized English-Spanish Thesaurus for Learners in Architecture and Building Construction;['Fernández Trinidad', 'Faber Pamela'];2011;Publication;119;Frank;2
120;Automatic Construction of a Dynamic Thesaurus for Proper Names.;['Roman Kurc', 'Maciej Piasecki', 'Stan Szpakowicz'];2013;Publication;120;Frank;3
121;Validating clinical terminology structures: integration and cross-validation of Read Thesaurus and GALEN.;['Jeremy Rogers', 'Colin Price', 'Alan L. Rector', 'W. D. Solomon', 'Nick Smejko'];1998;Publication;121;Frank;5
122;A Web Based General Thesaurus Browser to Support Indexing of Television and Radio Programs.;['Hennie Brugman', 'Véronique Malaisé', 'Luit Gazendam'];2006;Publication;122;Frank;3
123;Systems of systems engineering thesaurus approach: from concept to realisation.;['Huseyin Dogan', 'Vishal Barot', 'Michael Henshaw', 'Carys E. Siemieniuch', 'Murray A. Sinclair'];2014;Publication;123;Frank;5
124;Interactive Thesaurus Navigation: Intelligence Rules OK?;['Susan Jones', 'Mike Gatford', 'Stephen E. Robertson', 'Micheline Hancock-Beaulieu', 'Judith Secker', 'Steve Walker'];1995;Publication;124;Frank;6
125;The Generation Of Term Definitions From An On-Line Terminological Thesaurus.;['John McNaught'];1983;Publication;125;Frank;1
126;Taxonomie, Thesaurus, Topic Map, Ontologie – ein Vergleich;['Mike Ullrich', 'Andreas Maier', 'Jürgen Angele'];2004;Publication;126;Frank;3
127;Towards the automatic enrichment of a thesaurus with information in dictionaries.;['Hugo Gonçalo Oliveira', 'Paulo Gomes'];2013;Publication;127;Frank;2
128;Experiments in Classification Clustering and Thesaurus Expansion for Domain Specific Cross-Language Retrieval.;['Ray R. Larson'];2007;Publication;128;Frank;1
129;Semantic video search;['A W M Smeulders', 'J C van Gemert', 'B Huurnink', 'D C Koelma', 'O de Rooij', 'K E A van De Sande', 'C G M Snoek', 'C J Veenman', 'M Worring'];2007;Publication;129;Frank;9
130;Thesaurus litteraturae botanicae;['Georg August Pritzel'];1851;Publication;130;Frank;1
131;A Compositional Approach toward Dynamic Phrasal Thesaurus.;['Atsushi Fujita', 'Shuhei Kato', 'Naoki Kato', 'Satoshi Sato'];2007;Publication;131;Frank;4
132;A Fuzzy-Related Thesaurus for Query Refinement.;['Huilin Ye', 'Hanchang Liu'];2004;Publication;132;Frank;2
133;A Cooccurence-Based. Thesaurus and two Applications on Information Retrieval.;['Hinrich Schütze', 'Jan O. Pedersen'];1994;Publication;133;Frank;2
134;Terminus - Thesaurus - Text: Theorie und Praxis von Fachbegriffsystemen und ihrer Repräsentation in Fachtexten;['Susanne Wendt'];1992;Publication;134;Frank;1
135;Evaluating a thesaurus for discovery of ecological data.;['John H. Porter'];2019;Publication;135;Frank;1
136;Améliorer la recherche d'information à l'aide de thésaurus « ad hoc ». Expérimentations et réflexions méthodologiques.;['O. Desfriches Doria', 'Manuel Zacklad'];2010;Publication;136;Frank;2
137;Collaborative thesaurus tagging the Wikipedia way;['Jakob Voß'];2006;Publication;137;Frank;1
138;Term Disambiguation using the UMLS Medical Thesaurus;['D.G. Maynard', 'S. Ananiadou'];1998;Publication;138;Frank;2
139;Rerank Method Based on Individual Thesaurus.;['Youli Qu', 'Guowei Xu', 'Jun Wang'];2001;Publication;139;Frank;3
140;Not As Easy As It Seems: Automating the Construction of Lexical Chains Using Roget's Thesaurus;['Mario Jarmasz', 'Stan Szpakowicz'];2012;Publication;140;Frank;2
141;Decisions in thesaurus construction and use.;['Robert M. Losee'];2007;Publication;141;Frank;1
142;The Analogical Thesaurus.;['Tony Veale'];2003;Publication;142;Frank;1
143;Relaunch des Standard-Thesaurus Wirtschaft - Dynamik in der Wissensrepräsentation.;['Manuela Gastmeyer', 'Max-Michael Wannags', 'Joachim Neubert'];2016;Publication;143;Frank;3
144;Building A Large Thesaurus For Information Retrieval.;['Edward A. Fox', 'Jane Terry Nutter', 'Thomas Ahlswede', 'Martha W. Evens', 'Judith A. Markowitz'];1988;Publication;144;Frank;5
145;Omiotis: A Thesaurus-Based Measure of Text Relatedness.;['George Tsatsaronis', 'Iraklis Varlamis', 'Michalis Vazirgiannis', 'Kjetil Nørvåg'];2009;Publication;145;Frank;4
146;Semiotischer Thesaurus;['Walther Umstätter'];2007;Publication;146;Frank;1
147;Preliminary Analysis of Difficulty of Importing Pattern-Based Concepts into the National Cancer Institute Thesaurus.;['Zhe He', 'James Geller'];2016;Publication;147;Frank;2
148;Thésaurus distributionnels pour la recherche d'information et vice-versa.;['Vincent Claveau', 'Ewa Kijak'];2015;Publication;148;Frank;2
149;Enhancing Access to Knowledge Management Literature - A Proposal for Domain-Based Classification Scheme and Thesaurus.;['Denise A. D. Bedford'];2015;Publication;149;Frank;1
150;Effect of thesaurus size on schema matching quality.;['Thabit Sabbah', 'Ali Selamat', 'Mahmood Ashraf', 'Tutut Herawan'];2014;Publication;150;Frank;4
151;A Spinning Wheel for YARN: User Interface for a Crowdsourced Thesaurus.;['Pavel Braslavski', 'Dmitry Ustalov', 'Mikhail Mukhin'];2014;Publication;151;Frank;3
152;Automatic Keyword Extraction Using Domain Knowledge;['Anette Hulth', 'Jussi Karlgren', 'Anna Jonsson', 'Henrik Boström', 'Lars Asker'];2009;Publication;152;Frank;5
153;Online Thesaurus;[' M.W. Dictionary'];2006;Publication;153;Frank;1
154;Subject knowledge improves interactive query expansion assisted by a thesaurus.;['Anne Sihvonen', 'Pertti Vakkari'];2004;Publication;154;Frank;2
155;Ranking Documents with a Thesaurus.;['Roy Rada', 'Ellen Bicknell'];1989;Publication;155;Frank;2
156;Improving multilingual catalog search services by means of multilingual thesaurus disambiguation;['Nogueras J. Iso', 'Zarazaga F. J. Soria', 'J. Lacasta', 'R. Tolosana', 'Muro P. R. Medrano'];2004;Publication;156;Frank;5
157;Getty Thesaurus of Geographic Names;[' TGN'];2007;Publication;157;Frank;1
158;Comparing human and automatic thesaurus mapping approaches in the agricultural domain;['M. Sini', 'C. Caracciolo'];2008;Publication;158;Frank;2
159;Measuring inter-indexer consistency using a thesaurus.;['Olena Medelyan', 'Ian H. Witten'];2006;Publication;159;Frank;2
160;Automating a Classification Task Based on an Augmented Thesaurus.;['Eunok Paek', 'Hye-Jeong Jeon'];1997;Publication;160;Frank;2
161;Building Bilingual Ontology from WordNet and Chinese Classified Thesaurus.;['He Hu', 'Xiaoyong Du'];2007;Publication;161;Frank;2
162;Modele avec thesaurus de recherche d'information.;['Jean-Michel Knippel'];1998;Publication;162;Frank;1
163;Towards a Multilingual Morpheme Thesaurus for Medical Free-Text Retrieval.;['Stefan Schulz', 'Martin Romacker', 'Pius Franz', 'Albrecht Zaiss', 'Rüdiger Klar', 'Udo Hahn'];1999;Publication;163;Frank;6
164;An incremental construction method of a large-scale thesaurus using co-occurrence information.;['Kazuhiro Morita', 'Hiroya Kitagawa', 'Masao Fuketa', 'Jun ichi Aoe'];2013;Publication;164;Frank;4
165;Automatic Thesaurus Construction based on Grammatical Relations;['Takenobu Tokunaga', 'Makoto Iwayama', 'Hozumi Tanaka'];1995;Publication;165;Frank;3
166;On hierarchical web catalog integration with conceptual relationships in thesaurus.;['Ing-Xiang Chen', 'Jui-Chi Ho', 'Cheng-Zen Yang'];2006;Publication;166;Frank;3
167;Combining a Chinese Thesaurus with a Chinese Dictionary.;['Dong-Hong Ji', 'Junping Gong', 'Changning Huang'];1998;Publication;167;Frank;3
168;A framework to the development of Islamic ontology: Symbiosis of thesaurus and domain expert in ontology development.;['Juhana Salim', 'Siti Farhana Mohamad Hashim', 'Shahrul Azman Mohd. Noah'];2011;Publication;168;Frank;3
169;The rates of assignment of narrower terms in the Thesaurus of ERIC Descriptors.;['Virgil Diodato', 'Georgianna Henry'];1993;Publication;169;Frank;2
170;Live thesaurus construction for interactive voice-based web search.;['Shui-Lung Chuang', 'Hsiao-Tieh Pu', 'Wen-Hsiang Lu', 'Lee-Feng Chien'];2000;Publication;170;Frank;4
171;Der SWD-Web-Service: Bereitstellung eines Thesaurus in Form eines Netzwerkdienstes;['Wolfgang Habel'];2003;Publication;171;Frank;1
172;Evaluating the Effectiveness of Thesaurus and Stemming Methods in Retrieving Malay Translated Al-Quran Documents.;['Zainab Abu Bakar', 'Nurazzah Abdul Rahman'];2003;Publication;172;Frank;2
173;Visualization of similarity relationships by onomatopoeia thesaurus map.;['Yutaro Tomoto', 'Tsuyoshi Nakamura', 'Masayoshi Kanoh', 'Takanori Komatsu'];2010;Publication;173;Frank;4
174;Proper Nouns Thesaurus for Document Retrieval and Question Answering;['Claude de Loupyand Eric Crestanand Elise Lemaire'];2004;Publication;174;Frank;1
